TEAM,W,L,CHAMPION,PERC,POINT DIFF
GRIZZLIES,46,13,**,0.78,8.19
WARRIORS,29,20,out,0.59,5.55
HORNETS,24,20,out,0.55,5.5
CELTICS,23,20,out,0.53,5.23
HAWKS,22,20,out,0.52,4.9
TIMBERWOLVES,38,20,out,0.66,4.51
NUGGETS,21,20,out,0.51,3.49
PELICANS,49,20,out,0.71,2.94
76ERS,16,20,out,0.44,2.56
BULLS,26,20,out,0.57,1.99
SUNS,24,20,out,0.55,1.51
BUCKS,16,20,out,0.44,1.46
MAVERICKS,16,20,out,0.44,0.03
HEAT,11,20,out,0.35,-0.16
RAPTORS,18,20,out,0.47,-0.16
TRAIL_BLAZERS,10,20,out,0.33,-0.16
NETS,15,20,out,0.43,-0.18
CAVALIERS,15,20,out,0.43,-0.37
LAKERS,31,20,out,0.61,-0.83
SPURS,18,20,out,0.47,-1.11
WIZARDS,19,20,out,0.49,-1.22
KINGS,15,20,out,0.43,-1.64
KNICKS,29,20,out,0.59,-1.97
JAZZ,18,20,out,0.47,-2.88
CLIPPERS,21,20,out,0.51,-2.89
PACERS,5,20,out,0.2,-3.23
PISTONS,5,20,out,0.2,-5.78
MAGIC,10,20,out,0.33,-5.94
ROCKETS,1,20,out,0.05,-9.47
THUNDER,2,20,out,0.09,-9.89
